sn2005hc,0.045,0,17.302,0.025,1.078,0.011,-0.006,0.024,10.55,53666.77,0.11,BgVr,3
sn1993ag,0.049,0,17.865,0.043,0.884,0.038,0.085,0.04,12.07,49316.41,0.41,BV,7
sn1995ac,0.049,0,17.091,0.026,1.085,0.016,-0.012,0.022,7.89,49992.12,0.16,BVR,10
sn1990af,0.05,0,17.796,0.026,0.741,0.018,-0.006,0.034,12.07,48195.48,0.15,BV,7
sn1993o,0.053,0,17.656,0.029,0.906,0.013,-0.073,0.034,12.07,49133.6,0.14,BV,7
sn1999ao,0.055,0.001,17.906,0.035,0.95,0.031,-0.017,0.026,12.07,51244.92,0.62,BVR,16
sn1998dx,0.054,0,17.546,0.042,0.844,0.049,-0.088,0.029,12.07,51070.83,0.82,BVR,2
sn2006ob,0.059,0,18.302,0.025,0.741,0.018,0.022,0.024,11.32,54062.94,0.11,BVri,4
sn2006oa,0.058,0,17.955,0.026,1.131,0.028,0.023,0.022,8.98,54066.21,0.12,BVri,4
SDSS3901,0.063,0,18.015,0.026,1.117,0.01,0.051,0.024,9.74,53656.13,0.1,gri,17
sn1992bs,0.063,0,18.317,0.04,0.966,0.037,-0.018,0.04,12.07,48984.73,0.88,BV,7
sn2006an,0.065,0.001,18.195,0.036,1.061,0.042,0.016,0.024,7.99,53790.76,0.77,BVri,4
sn2007ae,0.063,0,17.832,0.048,1.198,0.039,0.002,0.027,11.32,54151.35,1.17,BVri,4
SDSS10028,0.065,0,18.373,0.029,0.891,0.024,0.054,0.027,10.53,53693.17,0.21,gri,17
SDSS6057,0.067,0,18.641,0.044,0.944,0.016,0.129,0.026,9.94,53662.91,0.13,gri,17
sn2006al,0.069,0,18.485,0.056,0.809,0.04,-0.063,0.032,10.25,53787.69,0.96,BVri,4
sn1993b,0.07,0,18.497,0.055,0.914,0.054,0.057,0.044,12.07,49005.02,1.2,BV,7
sn2006on,0.068,0.01,18.494,0.061,1.038,0.085,0.104,0.044,10.33,54063.77,0.6,BVri,4
sn1992ae,0.075,0,18.448,0.054,0.944,0.043,-0.027,0.049,12.07,48802.12,1.09,BV,7
sn2005ir,0.075,0,18.4,0.02,1.043,0.012,0.014,0.018,10.18,53684.55,0.1,gri,17
sn1999bp,0.078,0.001,18.422,0.026,1.065,0.027,-0.037,0.025,12.07,51263.34,0.25,BVR,16
sn1992bp,0.079,0,18.335,0.032,0.877,0.021,-0.075,0.039,12.07,48980.19,0.32,BV,7
sn2005ag,0.08,0.001,18.44,0.023,1.029,0.013,-0.014,0.023,10.9,53413.83,0.18,BgVr,3
SDSS1241,0.087,0,19.103,0.032,0.929,0.013,0.072,0.024,10.17,53634.5,0.13,gri,17
SDSS3592,0.087,0,18.751,0.026,0.975,0.011,-0.04,0.021,10.4,53644.32,0.09,gri,17
SDSS6773,0.09,0,18.663,0.045,0.979,0.017,-0.011,0.025,10.42,53677.56,0.14,gri,17
SDSS2102,0.095,0,18.634,0.041,1.133,0.032,-0.094,0.024,8.77,53618.61,0.92,gri,17
SDSS10434,0.104,0,19.185,0.042,1.01,0.033,-0.053,0.029,10.95,53695.72,0.24,gri,17
SDSS3256,0.108,0,19.495,0.051,0.942,0.018,-0.029,0.033,9.62,53650.61,0.31,gri,17
SDSS7147,0.11,0,19.516,0.03,0.796,0.019,-0.034,0.026,10.31,53678.97,0.15,gri,17
SDSS8719,0.116,0,19.392,0.033,0.992,0.021,-0.059,0.025,9.01,53689.03,0.12,gri,17
SDSS5395,0.117,0,19.459,0.031,1.11,0.016,0.002,0.021,8.6,53662.94,0.15,gri,17
SDSS2561,0.118,0,19.813,0.033,0.993,0.017,0.086,0.023,10.57,53638.49,0.17,gri,17
SDSS1371,0.119,0,19.073,0.028,1.072,0.017,-0.076,0.022,10.95,53632.32,0.15,gri,17
SDSS5549,0.121,0,19.654,0.026,1.02,0.015,0.033,0.021,8.75,53665.18,0.13,gri,17
SDSS2916,0.124,0,19.937,0.062,0.875,0.028,0.066,0.038,10.43,53643.11,0.16,gri,17
06D2fb,0.124,0,19.772,0.023,0.964,0.018,-0.004,0.02,9.74,53852.98,0.16,gri,18
SDSS6406,0.125,0,19.616,0.031,1,0.016,0.026,0.021,10.53,53673.97,0.11,gri,17
SDSS2992,0.127,0,20.034,0.046,0.889,0.017,0.127,0.027,9.88,53640,0.22,gri,17
SDSS744,0.128,0,19.793,0.053,1.149,0.046,0.08,0.031,10.15,53611.61,1.1,gri,17
SDSS5751,0.13,0,20.136,0.025,1.068,0.014,0.191,0.02,10.41,53665.21,0.13,gri,17
SDSS1032,0.13,0,20.326,0.044,0.717,0.02,0.088,0.035,10.46,53625.5,0.19,gri,17
SDSS2635,0.143,0,19.83,0.044,1.092,0.015,-0.015,0.023,9.92,53639.37,0.18,gri,17
SDSS1794,0.143,0,20.058,0.045,1.136,0.052,0.018,0.027,9.7,53623.27,0.88,gri,17
